dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2),operation
0.0,0.0,-,-,Deletion
0.1,0.0,-,-,Deletion
0.2,0.0,-,-,Deletion
0.3,0.0,-,-,Deletion
0.4,0.0,-,-,Deletion
0.5,0.0,-,-,Deletion
0.6,0.0,-,-,Deletion
0.7,0.0,-,-,Deletion
0.8,0.0,-,-,Deletion
0.9,0.0,-,-,Deletion
1.0,0.0,-,-,Deletion
1.1,0.0,-,-,Deletion
1.2,0.0,-,-,Deletion
1.3,0.0,-,-,Deletion
1.4,0.0,-,-,Deletion
1.5,0.0,-,-,Deletion
1.6,0.0,-,-,Deletion
1.7,0.0,-,-,Deletion
1.8,0.0,-,-,Deletion
1.9,0.0,-,-,Deletion
2.0,0.0,-,-,Deletion
2.1,0.0,-,-,Deletion
2.2,0.0,-,-,Deletion
2.3,0.0,-,-,Deletion
2.4,0.0,-,-,Deletion
2.5,0.0,-,-,Deletion
2.6,0.0,-,-,Deletion
2.7,0.0,-,-,Deletion
2.8,0.0,-,-,Deletion
2.9,0.0,-,-,Deletion
3.0,0.0,-,-,Deletion
3.1,0.0,-,-,Deletion
3.2,0.0,-,-,Deletion
3.3,0.0,-,-,Deletion
3.4,0.0,-,-,Deletion
3.5,0.0,-,-,Deletion
3.6,0.0,-,-,Deletion
3.7,0.0,-,-,Deletion
3.8,0.0,-,-,Deletion
3.9,0.0,-,-,Deletion
4.0,0.0,-,-,Deletion
4.1,0.0,-,-,Deletion
4.2,0.0,-,-,Deletion
4.3,0.0,-,-,Deletion
4.4,0.0,-,-,Deletion
4.5,0.0,-,-,Deletion
4.6,0.0,-,-,Deletion
4.7,0.0,-,-,Deletion
4.8,0.0,-,-,Deletion
4.9,0.0,-,-,Deletion
5.0,0.0,-,-,Deletion
5.1,0.0,-,-,Deletion
5.2,0.0,-,-,Deletion
5.3,0.0,-,-,Deletion
5.4,0.0,-,-,Deletion
5.5,0.0,-,-,Deletion
5.6,0.0,-,-,Deletion
5.7,0.0,-,-,Deletion
5.8,0.0,-,-,Deletion
5.9,0.0,-,-,Deletion
6.0,0.0,-,-,Deletion
6.1,0.0,-,-,Deletion
6.2,0.0,-,-,Deletion
6.3,0.0,-,-,Deletion
6.4,0.0,-,-,Deletion
6.5,0.0,-,-,Deletion
6.6,0.0,-,-,Deletion
6.7,0.0,-,-,Deletion
6.8,0.0,-,-,Deletion
6.9,0.0,-,-,Deletion
7.0,0.0,0.0,-0.014715,Match
7.1,0.0,0.098,0.0,Match
7.2,0.0,0.197,-0.004905,Match
7.3,0.0,0.324,-0.023544,Match
7.4,0.0,0.393,-0.004905,Match
7.5,0.0,0.493,-0.028449,Match
7.6,0.0,0.592,-0.00981,Match
7.7,0.0,0.704,-0.014715,Match
7.8,0.0,0.789,-0.00981,Match
7.9,0.0,0.926,-0.014715,Match
8.0,0.0,0.987,-0.00981,Match
8.1,0.0,1.086,-0.004905,Match
8.2,0.0,1.184,-0.004905,Match
8.3,0.0,1.298,-0.01962,Match
8.4,0.0,1.381,0.0,Match
8.5,0.0,1.481,-0.01962,Match
8.6,0.0,1.579,-0.00981,Match
8.7,0.0,1.678,-0.01962,Match
8.8,0.0,1.778,-0.014715,Match
8.9,0.0,1.915,-0.014715,Match
9.0,0.0,1.974,-0.014715,Match
9.1,0.0,2.073,-0.00981,Match
9.2,0.0,2.172,-0.004905,Match
9.3,0.0,2.271,-0.00981,Match
9.4,0.0,2.371,-0.00981,Match
9.5,0.0,2.468,-0.004905,Match
9.6,0.0,2.566,-0.004905,Match
9.7,0.0,2.667,-0.01962,Match
9.8,0.0,2.764,-0.014715,Match
9.9,0.0,2.863,-0.00981,Match
10.0,0.0,2.962,-0.014715,Match
10.1,0.0,3.06,-0.00981,Match
10.2,0.0,3.168,-0.00981,Match
10.3,0.0,3.259,-0.004905,Match
10.4,0.0,3.358,-0.01962,Match
10.5,0.0,3.456,-0.014715,Match
10.6,0.0,3.554,-0.00981,Match
10.7,0.0,3.653,-0.014715,Match
10.8,0.0,3.753,-0.004905,Match
10.9,0.0,3.851,-0.01962,Match
11.0,0.0,3.979,-0.014715,Match
11.1,0.0,4.049,-0.004905,Match
11.2,0.0,4.148,-0.004905,Match
11.3,0.0,4.246,-0.004905,Match
11.4,0.0,4.37,-0.00981,Match
11.5,0.0,4.443,-0.00981,Match
11.6,0.0,4.542,-0.00981,Match
11.7,0.0,4.64,-0.014715,Match
11.8,0.0,4.769,-0.004905,Match
11.9,0.0,4.839,-0.00981,Match
12.0,0.0,4.937,-0.014715,Match
12.1,0.0,5.036,-0.00981,Match
12.2,0.0,5.139,-0.00981,Match
12.3,0.0,5.233,-0.014715,Match
12.4,0.0,5.356,-0.00981,Match
12.5,0.0,5.431,-0.00981,Match
12.6,0.0,5.529,-0.014715,Match
12.7,0.0,5.628,-0.014715,Match
12.8,0.0,5.727,-0.004905,Match
12.9,0.0,5.826,-0.00981,Match
13.0,0.0,5.924,0.004905,Match
13.1,0.0,6.023,-0.014715,Match
13.2,0.0,6.121,-0.023544,Match
13.3,0.0,6.221,-0.033354,Match
13.4,0.0,6.319,-0.00981,Match
13.5,0.0,6.418,-0.023544,Match
13.6,0.0,6.517,0.004905,Match
13.7,0.0,6.622,-0.00981,Match
13.8,0.0,6.714,-0.01962,Match
13.9,0.0,6.813,0.0,Match
14.0,0.0,6.912,-0.014715,Match
14.1,0.0,7.011,0.0,Match
14.2,0.0,7.109,-0.014715,Match
14.3,0.0,7.228,0.0,Match
14.4,0.0,7.307,-0.023544,Match
